album_name,count
The Beatles,2063
Past Masters,1672
Abbey Road,1429
The Wall,1241
Revolver,1038
Help!,979
At Folsom Prison,918
Sgt. Pepper's Lonely Hearts Club Band,910
Exile On Main Street,892
Hot Fuss,878
